time,open,high,low,close,Volume
1733271300,96000.2,96000.3,96000.2,96000.3,0.01450838
1733271360,96000.2,96000.2,95927.2,95927.2,1.4451941
1733271420,95927.2,95927.2,95897.0,95897.1,0.09665275
1733271480,95897.1,95897.1,95892.4,95892.5,0.10868646
1733271540,95892.4,95897.1,95892.4,95897.1,1.23915554
1733271600,95897.1,95960.3,95897.1,95960.3,0.0289255
1733271660,95960.2,95960.2,95927.2,95944.2,0.08976402
1733271720,95944.1,95944.3,95944.1,95944.2,0.23328251
1733271780,95944.2,95944.2,95913.2,95913.2,0.9800661
1733271840,95913.3,95944.2,95913.2,95944.2,0.31527032
1733271900,95944.2,95944.2,95944.0,95944.1,0.23439903
1733271960,95944.1,96000.0,95944.0,95999.9,3.86551658
1733272020,95999.9,96000.0,95985.7,95985.7,0.064226
1733272080,95985.8,95985.8,95980.6,95980.6,0.61954646
1733272140,95972.8,95985.6,95972.8,95985.6,0.04990601
1733272200,95985.7,96000.0,95985.6,95985.7,0.08976111
1733272260,95985.7,95985.7,95966.5,95982.7,0.24023398
1733272320,95982.8,96026.3,95982.7,96026.3,7.30974907
1733272380,96026.3,96041.5,96026.3,96041.4,0.28440018
1733272440,96041.4,96041.5,95982.7,95982.7,0.13430543
1733272500,95982.7,95982.7,95936.4,95936.4,0.2414649
1733272560,95936.4,95936.4,95832.0,95832.0,0.09864713
1733272620,95832.0,95832.1,95804.1,95804.1,0.13744093
1733272680,95804.2,95804.2,95745.0,95745.0,39.35615298
1733272740,95745.0,95745.1,95656.0,95656.0,0.64297678
1733272800,95660.9,95665.7,95660.9,95660.9,0.04494025
1733272860,95661.0,95715.0,95661.0,95709.9,0.0448168
1733272920,95710.0,95720.1,95709.9,95709.9,0.06703005
1733272980,95710.0,95745.1,95710.0,95718.5,0.02141991
1733273040,95718.6,95718.6,95671.3,95685.3,0.81686945
1733273100,95685.4,95723.9,95685.4,95718.0,0.36118133
1733273160,95705.4,95705.4,95661.0,95661.0,0.08024564
1733273220,95661.0,95695.7,95661.0,95695.7,0.07181048
1733273280,95695.7,95695.7,95661.0,95661.8,0.40861687
1733273340,95661.9,95676.0,95661.6,95676.0,0.08627461
1733273400,95676.0,95695.7,95676.0,95695.7,0.03842262
1733273460,95695.7,95704.3,95695.7,95704.3,0.50840096
1733273520,95704.3,95726.0,95704.3,95725.9,0.59984321
1733273580,95726.0,95786.1,95725.9,95779.1,0.48442317
1733273640,95779.1,95810.8,95779.1,95804.2,0.01664574
1733273700,95804.3,95827.0,95804.3,95813.9,0.23775545
1733273760,95808.8,95812.4,95785.0,95786.5,0.05404773
1733273820,95786.5,95830.8,95786.4,95808.2,0.20949965
1733273880,95795.1,95809.4,95795.1,95808.1,0.05595429
1733273940,95808.1,95808.1,95777.0,95808.1,0.2538025
1733274000,95808.3,95809.4,95808.3,95809.3,0.1269172
1733274060,95809.4,95809.4,95786.0,95786.0,0.04931328
1733274120,95786.0,95786.0,95774.0,95774.0,0.22615654
1733274180,95774.0,95774.1,95774.0,95774.1,0.53465264
1733274240,95774.1,95774.1,95670.0,95670.0,0.1224685
1733274300,95670.0,95671.1,95613.7,95669.7,1.74139485
1733274360,95666.6,95671.2,95666.5,95671.2,0.01468353
1733274420,95671.3,95704.1,95666.5,95704.1,0.15209145
1733274480,95685.3,95688.5,95685.3,95685.4,0.59839801
1733274540,95685.3,95685.3,95685.0,95685.1,0.49605832
1733274600,95685.0,95685.1,95685.0,95685.0,0.03429358
1733274660,95685.0,95685.1,95685.0,95685.1,2.19664873
1733274720,95685.1,95685.1,95685.1,95685.1,0.51146582
1733274780,95685.1,95685.1,95685.0,95685.0,0.23989464
1733274840,95685.0,95685.1,95600.3,95601.4,4.32697948
1733274900,95601.4,95601.4,95601.4,95601.4,0.00566612
1733274960,95601.5,95601.5,95601.4,95601.5,0.13550706
1733275020,95601.5,95601.5,95601.4,95601.5,0.00831538
1733275080,95601.4,95601.5,95601.4,95601.4,2.23133706
1733275140,95601.5,95601.5,95601.4,95601.5,0.88508238
1733275200,95601.4,95680.0,95601.4,95652.7,3.66505211
1733275260,95652.7,95680.0,95652.6,95673.5,0.04824682
1733275320,95673.5,95673.5,95634.1,95673.5,0.1239309
1733275380,95673.6,95685.9,95673.6,95685.9,0.03526606
1733275440,95689.6,95711.3,95689.5,95711.3,0.04381935
1733275500,95711.3,95711.3,95711.0,95711.0,0.05567106
1733275560,95711.1,95711.1,95701.2,95701.3,0.00396161
1733275620,95701.2,95706.7,95680.0,95706.6,0.02047163
1733275680,95706.6,95809.2,95706.6,95809.2,9.34852256
1733275740,95809.1,95809.2,95800.3,95809.2,0.34480275
1733275800,95809.2,95809.2,95809.0,95809.0,0.01737203
1733275860,95809.0,95857.8,95809.0,95857.8,1.97365434
1733275920,95857.8,95897.0,95857.8,95897.0,0.26677057
1733275980,95897.0,95956.4,95897.0,95953.1,0.79442738
1733276040,95953.1,96450.0,95953.1,96417.7,27.11918542
1733276100,96414.3,96450.0,96373.2,96413.2,0.63689859
1733276160,96413.1,96413.1,96374.6,96402.9,3.83657903
1733276220,96426.1,96488.8,96426.1,96480.1,15.82134859
1733276280,96480.1,96627.5,96480.1,96624.9,4.0107496
1733276340,96619.6,96633.0,96550.0,96570.1,3.37685025
1733276400,96570.1,96589.4,96550.1,96550.1,1.47274582
1733276460,96550.1,96633.4,96550.1,96617.8,3.46436794
