time,open,high,low,close,Volume
1733320740,3710.11,3710.11,3708.95,3709.8,32.0790082
1733320800,3709.8,3709.82,3709.8,3709.82,1.57779632
1733320860,3709.8,3709.8,3706.28,3706.28,0.08226149
1733320920,3707.72,3707.72,3703.4,3703.4,9.11562773
1733320980,3701.8,3704.66,3701.8,3704.66,30.07897372
1733321040,3704.27,3704.61,3701.97,3703.86,9.37234392
1733321100,3703.7,3703.7,3701.62,3702.98,2.5189573
1733321160,3702.96,3706.6,3702.96,3706.58,3.6996766
1733321220,3706.6,3708.02,3706.6,3708.02,1.08858108
1733321280,3706.83,3706.83,3706.51,3706.51,0.40940011
1733321340,3706.5,3706.5,3698.22,3700.16,8.58793856
1733321400,3699.13,3700.51,3698.22,3698.22,1.40598062
1733321460,3698,3698.63,3697.59,3697.99,14.37836013
1733321520,3698,3702.97,3698,3702.42,2.28628503
1733321580,3701.42,3701.42,3698.73,3698.74,1.02998922
1733321640,3701.83,3701.83,3700.8,3700.81,0.61348671
1733321700,3700.82,3700.83,3696.19,3700.83,175.2730041
1733321760,3700.83,3705.43,3700.83,3705.41,3.33559884
1733321820,3705.81,3709.51,3705.81,3709.51,0.73098792
1733321880,3709.51,3709.51,3707.7,3707.81,3.08380168
1733321940,3707.8,3708.71,3705.53,3708.7,6.57602113
1733322000,3708.71,3709.31,3708.59,3708.61,2.68556302
1733322060,3708.61,3713.19,3708.61,3713.19,1.79177148
1733322120,3713.18,3713.96,3713.18,3713.96,0.98701825
1733322180,3713.97,3714.19,3713.17,3713.17,4.34399086
1733322240,3714.2,3719.34,3714.2,3719.34,0.67419719
1733322300,3719.35,3719.35,3718.27,3719,1.48594769
1733322360,3719,3719,3718.99,3718.99,1.48421045
1733322420,3719,3719,3718.83,3718.99,3.87986546
1733322480,3718.99,3720,3718.99,3719.99,5.88803909
1733322540,3720,3720.85,3719.99,3720,1.08313878
1733322600,3720,3723.44,3719.37,3723.44,38.63227271
1733322660,3720.86,3720.95,3715.13,3715.13,1.84422151
1733322720,3716.39,3725.12,3716.39,3725.12,0.68509622
1733322780,3725.12,3731.94,3725.12,3731.94,1.09730684
1733322840,3731.94,3737.81,3731.94,3737.8,10.8020121
1733322900,3737.81,3738.14,3732.34,3738.14,19.09976637
1733322960,3738.23,3742.99,3735.9,3735.91,19.24926753
1733323020,3735.91,3737.02,3735.91,3737.02,34.55034731
1733323080,3737.01,3737.89,3736.36,3737.22,17.38382786
1733323140,3737.77,3743.35,3737.77,3743.35,2.07627109
1733323200,3743.35,3749.99,3743.08,3749.99,7.55880159
1733323260,3749.82,3750,3748.91,3749.95,35.76503112
1733323320,3750,3753.16,3750,3753.16,32.57210162
1733323380,3753.15,3753.15,3745.87,3745.87,34.68142023
1733323440,3745.27,3751.13,3745.26,3749.53,12.62516371
1733323500,3749.53,3749.53,3742.17,3745.31,93.92780079
1733323560,3745.31,3753.32,3745.3,3752.55,20.14229044
1733323620,3752.56,3765.44,3752.56,3765.44,26.69479531
1733323680,3765.68,3768.87,3765.68,3768.29,88.3998241
1733323740,3768.29,3777,3768.29,3777,85.2148191
1733323800,3777,3780.8,3766.81,3769.68,137.4341043
1733323860,3769.31,3769.31,3763.41,3763.41,76.29401347
1733323920,3764.33,3775,3764.33,3775,19.36566866
1733323980,3775,3780.8,3775,3780.8,35.64710154
1733324040,3780.79,3791.75,3780.79,3791.75,122.9367758
1733324100,3791.75,3795,3789.99,3791.69,74.61062706
1733324160,3791.68,3795,3785.02,3795,42.19989297
1733324220,3795,3797.38,3788.67,3791.46,67.26075157
1733324280,3791.47,3793.13,3791.46,3792.47,60.92236478
1733324340,3792.74,3795.8,3781.57,3782.68,35.70023787
1733324400,3782.92,3783.22,3770.64,3783.22,100.0639156
1733324460,3783.23,3783.78,3771.88,3776.09,225.4996305
1733324520,3778.77,3791.03,3778.44,3791.03,16.3694627
1733324580,3792.87,3799.48,3792.87,3799.48,111.0185268
1733324640,3799.99,3807.2,3799.99,3805.36,202.3415938
1733324700,3805.25,3807.71,3799.45,3803.67,78.94607061
1733324760,3803.68,3808.9,3803.09,3805.33,18.73279422
